T, DemandHome
1318, 0.60907
1319, 0.5224905
1320, 0.4040085
1321, 0.308084
1322, 0.256508
1323, 0.227031
1324, 0.2141265
1325, 0.224469
1326, 0.2664095
1327, 0.3486175
1328, 0.408849
1329, 0.4091745
1330, 0.3972325
1331, 0.385154
1332, 0.393057
1333, 0.4009915
1334, 0.3970365
1335, 0.407617
1336, 0.424403
1337, 0.4677575
1338, 0.5628875
1339, 0.6744465
1340, 0.71533
1341, 0.674275
1342, 0.6006735
1343, 0.5164215
1344, 0.4035535
1345, 0.3119725
1346, 0.25907
1347, 0.230517
1348, 0.2199155
1349, 0.2300515
1350, 0.2681595
1351, 0.3445715
1352, 0.4046525
1353, 0.403473
1354, 0.391097
1355, 0.375326
1356, 0.385266
1357, 0.3948945
1358, 0.390922
1359, 0.399182
1360, 0.4159085
1361, 0.4603235
1362, 0.5527865
1363, 0.664888
1364, 0.704473
1365, 0.665889
1366, 0.5970475
1367, 0.516243
1368, 0.406966
1369, 0.3096975
1370, 0.2589335
1371, 0.2306115
1372, 0.219037
1373, 0.23016
1374, 0.2688665
1375, 0.3465735
1376, 0.404761
1377, 0.404124
1378, 0.391811
1379, 0.379106
1380, 0.387422
1381, 0.395094
1382, 0.390754
1383, 0.399357
1384, 0.4159715
1385, 0.459032
1386, 0.554834
1387, 0.669669
1388, 0.707721
1389, 0.6656895
1390, 0.59661
1391, 0.5145735
1392, 0.401338
1393, 0.310597
1394, 0.260463
1395, 0.232533
1396, 0.22183
1397, 0.2310455
1398, 0.2685445
1399, 0.346458
1400, 0.4054855
1401, 0.4068295
1402, 0.394765
1403, 0.3783325
1404, 0.3848355
1405, 0.3943555
1406, 0.388122
1407, 0.39634
1408, 0.410956
1409, 0.4504815
1410, 0.543844
1411, 0.65842
1412, 0.69895
1413, 0.660737
1414, 0.5919585
1415, 0.51219
1416, 0.4064445
1417, 0.31451
1418, 0.2629305
1419, 0.231903
1420, 0.221256
1421, 0.230902
1422, 0.267162
1423, 0.3427305
1424, 0.405069
1425, 0.411656
1426, 0.4042115
1427, 0.393932
1428, 0.4038685
1429, 0.41412
1430, 0.418936
1431, 0.434245
1432, 0.4502225
1433, 0.482062
1434, 0.5623905
1435, 0.659477
1436, 0.681835
1437, 0.6381025
1438, 0.566923
1439, 0.4986345
1440, 0.4163915
1441, 0.316652
1442, 0.2663255
1443, 0.2391235
1444, 0.235998
1445, 0.2459275
1446, 0.259903
1447, 0.286258
1448, 0.362488
1449, 0.46011
1450, 0.523565
1451, 0.551257
1452, 0.573615
1453, 0.5701395
1454, 0.539301
1455, 0.5212165
1456, 0.5141395
1457, 0.5250175
1458, 0.5996375
1459, 0.705572
1460, 0.7150185
1461, 0.6513605
1462, 0.5637205
1463, 0.482167
1464, 0.404173
1465, 0.312613
1466, 0.253071
1467, 0.228662
1468, 0.239456
1469, 0.2613275
1470, 0.2775325
1471, 0.296814
1472, 0.3592645
1473, 0.4553535
1474, 0.532952
1475, 0.582316
1476, 0.6308085
1477, 0.634067
1478, 0.587545
1479, 0.5509315
1480, 0.536144
1481, 0.550956
1482, 0.6363105
1483, 0.753655
1484, 0.7675535
1485, 0.6929895
1486, 0.602896
1487, 0.5146505
1488, 0.396179
1489, 0.3021585
1490, 0.251118
1491, 0.222782
1492, 0.211638
