T, P
1312, 0.24175
1313, 0.24161
1314, 0.24851
1315, 0.25065
1316, 0.25222
1317, 0.24979
1318, 0.24802
1319, 0.24832
1320, 0.24622
1321, 0.24448
1322, 0.24329
1323, 0.24139
1324, 0.24141
1325, 0.24086
1326, 0.24738
1327, 0.26098
1328, 0.27235
1329, 0.27802
1330, 0.27799
1331, 0.2752
1332, 0.27194
1333, 0.27581
1334, 0.2731
1335, 0.26626
1336, 0.26497
1337, 0.26161
1338, 0.26885
1339, 0.27832
1340, 0.26813
1341, 0.26529
1342, 0.26796
1343, 0.25623
1344, 0.24624
1345, 0.24703
1346, 0.24587
1347, 0.24465
1348, 0.24556
1349, 0.24726
1350, 0.24906
1351, 0.26142
1352, 0.27216
1353, 0.27313
1354, 0.27668
1355, 0.27923
1356, 0.28033
1357, 0.27432
1358, 0.27342
1359, 0.26949
1360, 0.26674
1361, 0.26312
1362, 0.26934
1363, 0.29409
1364, 0.27723
1365, 0.27344
1366, 0.26324
1367, 0.26088
1368, 0.24778
1369, 0.2493
1370, 0.24655
1371, 0.24666
1372, 0.24722
1373, 0.24842
1374, 0.25148
1375, 0.26487
1376, 0.27566
1377, 0.28128
1378, 0.28114
1379, 0.28144
1380, 0.27737
1381, 0.27137
1382, 0.27232
1383, 0.27145
1384, 0.26904
1385, 0.2656
1386, 0.27134
1387, 0.30922
1388, 0.30743
1389, 0.2758
1390, 0.26559
1391, 0.26775
1392, 0.25734
1393, 0.25337
1394, 0.24756
1395, 0.2463
1396, 0.24761
1397, 0.24867
1398, 0.25041
1399, 0.26726
1400, 0.26742
1401, 0.27931
1402, 0.27732
1403, 0.27516
1404, 0.26968
1405, 0.26729
1406, 0.26724
1407, 0.26447
1408, 0.26268
1409, 0.26432
1410, 0.26726
1411, 0.28215
1412, 0.28103
1413, 0.27094
1414, 0.26529
1415, 0.25039
1416, 0.24557
1417, 0.24663
1418, 0.2431
1419, 0.24235
1420, 0.24302
1421, 0.24701
1422, 0.24809
1423, 0.25363
1424, 0.27126
1425, 0.27096
1426, 0.27493
1427, 0.26729
1428, 0.26423
1429, 0.26723
1430, 0.25927
1431, 0.25428
1432, 0.25771
1433, 0.2593
1434, 0.26725
1435, 0.28123
1436, 0.28717
1437, 0.27197
1438, 0.26176
1439, 0.26032
1440, 0.24877
1441, 0.25525
1442, 0.24826
1443, 0.24769
1444, 0.24762
1445, 0.24794
1446, 0.24779
1447, 0.24675
1448, 0.24893
1449, 0.25529
1450, 0.26345
1451, 0.26323
1452, 0.25823
1453, 0.25044
1454, 0.24637
1455, 0.24438
1456, 0.24545
1457, 0.24705
1458, 0.25736
1459, 0.27428
1460, 0.26673
1461, 0.24782
1462, 0.2437
1463, 0.24422
1464, 0.2403
1465, 0.23839
1466, 0.23093
1467, 0.22983
1468, 0.23014
1469, 0.23532
1470, 0.23904
1471, 0.23905
1472, 0.24091
1473, 0.24142
1474, 0.24541
1475, 0.24739
1476, 0.24893
1477, 0.248
1478, 0.24671
1479, 0.24632
1480, 0.24755
1481, 0.25055
1482, 0.25682
1483, 0.27362
1484, 0.28261
1485, 0.26374
1486, 0.25527
1487, 0.25647
1488, 0.2497
1489, 0.24939
1490, 0.24733
1491, 0.2472
1492, 0.24672
1493, 0.24779
1494, 0.24999
1495, 0.26887
1496, 0.28287
1497, 0.29353
1498, 0.26948
1499, 0.2574
1500, 0.25212
1501, 0.24937
1502, 0.24882
1503, 0.24924
1504, 0.25218
1505, 0.25662
1506, 0.26357
1507, 0.28673
