T, PV
1491, 0
1492, 0
1493, 0
1494, 0
1495, 0
1496, 0.06
1497, 0.38
1498, 0.7
1499, 0.96
1500, 1.1
1501, 1.14
1502, 1.06
1503, 0.92
1504, 0.7
1505, 0.36
1506, 0.02
1507, 0
1508, 0
1509, 0
1510, 0
1511, 0
1512, 0
1513, 0
1514, 0
1515, 0
1516, 0
1517, 0
1518, 0
1519, 0
1520, 0.08
1521, 0.44
1522, 0.74
1523, 1
1524, 1.14
1525, 1.2
1526, 1.12
1527, 0.96
1528, 0.7
1529, 0.34
1530, 0.02
1531, 0
1532, 0
1533, 0
1534, 0
1535, 0
1536, 0
1537, 0
1538, 0
1539, 0
1540, 0
1541, 0
1542, 0
1543, 0
1544, 0.06
1545, 0.5
1546, 0.84
1547, 1.02
1548, 1.16
1549, 1.14
1550, 1.04
1551, 0.8
1552, 0.58
1553, 0.32
1554, 0.04
1555, 0
1556, 0
1557, 0
1558, 0
1559, 0
1560, 0
1561, 0
1562, 0
1563, 0
1564, 0
1565, 0
1566, 0
1567, 0
1568, 0.02
1569, 0.14
1570, 0.28
1571, 0.36
1572, 0.42
1573, 0.46
1574, 0.4
1575, 0.34
1576, 0.22
1577, 0.1
1578, 0.02
1579, 0
1580, 0
1581, 0
1582, 0
1583, 0
1584, 0
1585, 0
1586, 0
1587, 0
1588, 0
1589, 0
1590, 0
1591, 0
1592, 0.02
1593, 0.06
1594, 0.16
1595, 0.24
1596, 0.3
1597, 0.28
1598, 0.24
1599, 0.24
1600, 0.18
1601, 0.1
1602, 0.02
1603, 0
1604, 0
1605, 0
1606, 0
1607, 0
1608, 0
1609, 0
1610, 0
1611, 0
1612, 0
1613, 0
1614, 0
1615, 0
1616, 0.02
1617, 0.06
1618, 0.12
1619, 0.14
1620, 0.22
1621, 0.22
1622, 0.16
1623, 0.12
1624, 0.08
1625, 0.04
1626, 0.02
1627, 0
1628, 0
1629, 0
1630, 0
1631, 0
1632, 0
1633, 0
1634, 0
1635, 0
1636, 0
1637, 0
1638, 0
1639, 0
1640, 0.04
1641, 0.12
1642, 0.32
1643, 0.44
1644, 0.44
1645, 0.44
1646, 0.4
1647, 0.3
1648, 0.22
1649, 0.08
1650, 0.02
1651, 0
1652, 0
1653, 0
1654, 0
1655, 0
1656, 0
1657, 0
1658, 0
1659, 0
1660, 0
1661, 0
1662, 0
1663, 0
1664, 0.02
1665, 0.06
1666, 0.12
1667, 0.18
1668, 0.22
1669, 0.26
1670, 0.22
1671, 0.2
1672, 0.16
1673, 0.1
1674, 0.04
1675, 0
1676, 0
1677, 0
1678, 0
1679, 0
1680, 0
1681, 0
1682, 0
1683, 0
1684, 0
1685, 0
1686, 0
1687, 0
1688, 0.02
1689, 0.08
1690, 0.16
1691, 0.2
1692, 0.24
